metric,severity_control,responder_count,n_pairs,mean_greedy_minus_global,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,holm_adjusted_p_value,effect_size_dz,global_win_rate_pct,tie_rate_pct
mean_response_s,0.1,8,100,240.83239813416188,208.00741143468187,275.33719376958106,0.0001999600079984003,0.01279744051189762,1.3625831367846137,99.0,1.0
mean_response_s,0.1,10,100,127.53140264750111,108.41342551466755,147.59087461879233,0.0001999600079984003,0.01279744051189762,1.2869040488881724,98.0,2.0
mean_response_s,0.1,12,100,70.35440721438687,58.33111865138204,84.07478919891238,0.0001999600079984003,0.01279744051189762,1.0588877957613039,97.0,2.0
mean_response_s,0.1,14,100,51.16371132358834,42.48891425401361,60.0961637468883,0.0001999600079984003,0.01279744051189762,1.1301227646878529,85.0,14.000000000000002
mean_response_s,0.1,16,100,35.83904698057201,28.76737445255453,43.57793478899117,0.0001999600079984003,0.01279744051189762,0.9499931271434767,88.0,12.0
mean_response_s,0.1,20,100,21.83097294034896,17.175586406096606,26.862789795798143,0.0001999600079984003,0.01279744051189762,0.8635909137500118,87.0,13.0
mean_response_s,0.1,24,100,16.00590698760298,12.006563342458204,20.45714931317983,0.0001999600079984003,0.01279744051189762,0.7274122672134388,77.0,23.0
mean_response_s,0.1,32,100,10.269294110163537,7.695020255104425,13.10030167007939,0.0001999600079984003,0.01279744051189762,0.7690672343264309,65.0,34.0
mean_response_s,0.12,8,100,261.41331691279885,217.68773901930047,309.9562459808683,0.0001999600079984003,0.01279744051189762,1.0779285689327198,99.0,0.0
mean_response_s,0.12,10,100,149.23681181012464,123.13249259574131,178.19411128847563,0.0001999600079984003,0.01279744051189762,1.0716517150947469,97.0,1.0
mean_response_s,0.12,12,100,83.05697561323339,65.8245352732287,103.9893836631896,0.0001999600079984003,0.01279744051189762,0.8461505212583476,93.0,5.0
mean_response_s,0.12,14,100,60.16659923566371,49.11578556837326,72.10076590732965,0.0001999600079984003,0.01279744051189762,1.0313545871915055,88.0,11.0
mean_response_s,0.12,16,100,40.24237325499149,30.188723762467664,51.120879995934544,0.0001999600079984003,0.01279744051189762,0.7563186405683371,84.0,15.0
mean_response_s,0.12,20,100,19.990764674407043,14.453562135827726,25.848160648739245,0.0001999600079984003,0.01279744051189762,0.6903328680001074,79.0,20.0
mean_response_s,0.12,24,100,16.023223281554174,10.855590753494921,21.641974496558337,0.0001999600079984003,0.01279744051189762,0.5714855159037813,73.0,26.0
mean_response_s,0.12,32,100,10.213393817252003,6.916256095861602,13.702859120776875,0.0001999600079984003,0.01279744051189762,0.5765386465116611,62.0,37.0
mean_response_s,0.13,8,100,259.59088656341476,215.7909316191258,310.5514107512133,0.0001999600079984003,0.01279744051189762,1.0443159389879932,99.0,0.0
mean_response_s,0.13,10,100,147.02499128721203,120.00669826295177,174.0035480655015,0.0001999600079984003,0.01279744051189762,1.065410182890095,95.0,4.0
mean_response_s,0.13,12,100,76.77265783629436,59.491277583800006,95.32585552329924,0.0001999600079984003,0.01279744051189762,0.8278089650979348,91.0,7.000000000000001
mean_response_s,0.13,14,100,53.578645022661135,41.86692425879858,65.9173798953423,0.0001999600079984003,0.01279744051189762,0.848904896854252,84.0,12.0
mean_response_s,0.13,16,100,35.14248894808323,25.265229481773062,45.923427031174924,0.0001999600079984003,0.01279744051189762,0.6726412212376852,77.0,18.0
mean_response_s,0.13,20,100,21.683760991313825,16.645243941880295,26.98550577751927,0.0001999600079984003,0.01279744051189762,0.8327095442409058,76.0,22.0
mean_response_s,0.13,24,100,16.878488368641186,12.746180499280383,21.66052590618311,0.0001999600079984003,0.01279744051189762,0.7411710857166207,72.0,26.0
mean_response_s,0.13,32,100,11.386341383477578,8.379379051012423,14.421862203920709,0.0001999600079984003,0.01279744051189762,0.7218206624254959,60.0,40.0
mean_response_s,0.14,8,100,288.956372814502,242.00379287863615,346.6607577616737,0.0001999600079984003,0.01279744051189762,1.0800344250865317,99.0,0.0
mean_response_s,0.14,10,100,153.27042872327908,126.86147777586622,179.4427536903776,0.0001999600079984003,0.01279744051189762,1.1157945423980635,97.0,2.0
mean_response_s,0.14,12,100,88.67560091810036,64.80747141393951,118.3322764708716,0.0001999600079984003,0.01279744051189762,0.6372196174956777,90.0,8.0
mean_response_s,0.14,14,100,60.332433972941864,44.3932462787879,82.63157904626118,0.0001999600079984003,0.01279744051189762,0.6129799323777037,88.0,11.0
mean_response_s,0.14,16,100,40.29610732514776,31.089998886089333,50.818325214184185,0.0001999600079984003,0.01279744051189762,0.7803645729597536,82.0,17.0
mean_response_s,0.14,20,100,27.71617363484258,20.67315513015901,36.049437567764386,0.0001999600079984003,0.01279744051189762,0.720504581961458,74.0,24.0
mean_response_s,0.14,24,100,20.48309052684097,15.083750439635027,26.08587656989536,0.0001999600079984003,0.01279744051189762,0.7035000485901446,74.0,25.0
mean_response_s,0.14,32,100,12.984453439387197,9.556226760492525,16.779420523178167,0.0001999600079984003,0.01279744051189762,0.7079970450316829,71.0,28.999999999999996
mean_response_s,0.15,8,100,274.69661585716955,236.463281090049,317.1123151237985,0.0001999600079984003,0.01279744051189762,1.3057702066542576,99.0,0.0
