severity_control,responder_count,realization,seed,algorithm,failed_directed_edges,incident_count,incidents,assigned,unreachable,reachability_pct,mean_response_s,median_response_s,p90_response_s,total_response_s,weighted_unmet_demand
0.12,32,0,6060,global_min_cost,1325,10,10,9,1,90.0,256.5877382034438,202.4896130819899,509.6402824033111,2309.2896438309936,3
0.13,8,0,6060,greedy,1437,10,10,7,3,70.0,519.8687080576824,287.27903620534664,1141.608012955249,3639.0809564037772,8
0.13,8,0,6060,global_min_cost,1437,10,10,7,3,70.0,405.16126266190173,287.27903620534664,737.3483564876111,2836.128838633312,8
0.13,10,0,6060,greedy,1437,10,10,7,3,70.0,394.41344620429675,287.27903620534664,752.9102568556326,2760.894123430077,8
0.13,10,0,6060,global_min_cost,1437,10,10,7,3,70.0,394.41344620429675,287.27903620534664,737.3483564876111,2760.8941234300773,8
0.13,12,0,6060,greedy,1437,10,10,7,3,70.0,388.3057503235285,287.27903620534664,752.9102568556326,2718.1402522647,8
0.13,12,0,6060,global_min_cost,1437,10,10,7,3,70.0,371.900785457106,287.27903620534664,737.3483564876111,2603.305498199742,8
0.13,14,0,6060,greedy,1437,10,10,7,3,70.0,359.0516251676052,287.27903620534664,737.3483564876111,2513.3613761732363,8
0.13,14,0,6060,global_min_cost,1437,10,10,7,3,70.0,326.2873203375687,287.27903620534664,603.609393371443,2284.011242362981,8
0.13,16,0,6060,greedy,1437,10,10,7,3,70.0,272.3310021857986,287.27903620534664,469.1054520728321,1906.31701530059,8
0.13,16,0,6060,global_min_cost,1437,10,10,7,3,70.0,272.3310021857986,287.27903620534664,430.9593303499119,1906.31701530059,8
0.13,20,0,6060,greedy,1437,10,10,7,3,70.0,269.75070466391537,287.27903620534664,461.88061901155913,1888.2549326474073,8
0.13,20,0,6060,global_min_cost,1437,10,10,7,3,70.0,269.75070466391537,287.27903620534664,423.7344972886389,1888.2549326474077,8
0.13,24,0,6060,greedy,1437,10,10,7,3,70.0,201.65302158111447,179.02721086202254,329.24751458791064,1411.571151067801,8
0.13,24,0,6060,global_min_cost,1437,10,10,7,3,70.0,201.65302158111444,251.0001891903391,298.77910149856075,1411.5711510678013,8
0.13,32,0,6060,greedy,1437,10,10,8,2,80.0,238.18597511806772,191.92845925679197,455.0457302124132,1905.4878009445417,5
0.13,32,0,6060,global_min_cost,1437,10,10,8,2,80.0,236.85982110879235,189.15363062749293,455.0457302124132,1894.8785688703388,5
0.14,8,0,6060,greedy,1544,10,10,6,4,60.0,446.62560342172577,291.9874418532933,943.78451985283,2679.753620530355,12
0.14,8,0,6060,global_min_cost,1544,10,10,6,4,60.0,338.2341570083556,271.9098414525859,638.687781013427,2029.4049420501337,11
0.14,10,0,6060,greedy,1544,10,10,7,3,70.0,512.2810516047255,308.44155529841146,1122.0668129627888,3585.967361233078,8
0.14,10,0,6060,global_min_cost,1544,10,10,7,3,70.0,447.7027565357222,502.4034382041308,780.1230691231156,3133.9192957500554,8
0.14,12,0,6060,greedy,1544,10,10,7,3,70.0,488.0200071171226,308.44155529841146,1089.2637088103693,3416.140049819858,8
0.14,12,0,6060,global_min_cost,1544,10,10,7,3,70.0,391.36777642915445,307.1911054170504,732.6495193990031,2739.574435004081,8
0.14,14,0,6060,greedy,1544,10,10,7,3,70.0,372.0806618729687,308.44155529841146,779.3727991942989,2604.564633110781,8
0.14,14,0,6060,global_min_cost,1544,10,10,7,3,70.0,345.75431130961715,307.1911054170504,632.1258684617794,2420.28017916732,8
0.14,16,0,6060,greedy,1544,10,10,7,3,70.0,285.36003889116205,303.8167667726305,497.121747210624,1997.5202722381343,8
0.14,16,0,6060,global_min_cost,1544,10,10,7,3,70.0,285.36003889116205,295.4206579825143,461.5004086269002,1997.5202722381346,8
0.14,20,0,6060,greedy,1544,10,10,7,3,70.0,275.79713869050534,303.8167667726305,470.3456266487851,1930.5799708335371,8
0.14,20,0,6060,global_min_cost,1544,10,10,7,3,70.0,275.79713869050534,295.4206579825143,434.72428806506133,1930.5799708335376,8
0.14,24,0,6060,greedy,1544,10,10,7,3,70.0,204.67623859440943,179.02721086202254,331.2721177745626,1432.733670160866,8
0.14,24,0,6060,global_min_cost,1544,10,10,7,3,70.0,204.67623859440943,251.0001891903391,305.16650223039846,1432.7336701608663,8
0.14,32,0,6060,greedy,1544,10,10,8,2,80.0,238.18597511806772,191.92845925679197,455.0457302124132,1905.4878009445417,5
0.14,32,0,6060,global_min_cost,1544,10,10,8,2,80.0,236.85982110879235,189.15363062749293,455.0457302124132,1894.8785688703388,5
0.15,8,0,6060,greedy,1660,10,10,6,4,60.0,451.9249104572759,291.9874418532933,959.6824409594806,2711.5494627436556,12
0.15,8,0,6060,global_min_cost,1660,10,10,6,4,60.0,353.8492175128442,302.85710185940104,654.5857021200775,2123.095305077065,11
0.15,10,0,6060,greedy,1660,10,10,7,3,70.0,526.3117376474786,308.44155529841146,1150.3887874931916,3684.1821635323504,8
0.15,10,0,6060,global_min_cost,1660,10,10,7,3,70.0,461.7334425784754,502.4034382041308,804.8808774485677,3232.134098049328,8
0.15,12,0,6060,greedy,1660,10,10,7,3,70.0,497.508429986547,308.44155529841146,1104.8673464554518,3482.559009905829,8
0.15,12,0,6060,global_min_cost,1660,10,10,7,3,70.0,400.2098508311016,307.1911054170504,732.6495193990031,2801.4689558177115,8
0.15,14,0,6060,greedy,1660,10,10,7,3,70.0,398.57914754480515,308.44155529841146,882.8854888320012,2790.054032813636,8
