algorithm,responder_count,severity_control,n_worlds,service_successes,service_probability_pct,wilson_low_pct,wilson_high_pct,monotone_service_probability_pct
greedy,20,0.1675,300,217,72.33333333333334,67.01300560341224,77.08894168189137,72.33333333333334
greedy,20,0.17,300,208,69.33333333333334,63.89838112035251,74.27942399229839,69.33333333333334
greedy,20,0.175,300,193,64.33333333333333,58.76297656515226,69.54125825974408,64.33333333333333
greedy,20,0.18,300,177,59.0,53.35482149789318,64.41760502006498,59.0
greedy,24,0.145,300,259,86.33333333333333,81.98445870022493,89.76348539079136,86.33333333333333
greedy,24,0.15,300,248,82.66666666666667,77.9773859297431,86.52993995025324,82.66666666666667
greedy,24,0.1525,300,247,82.33333333333334,77.61675879076233,86.23232907005035,82.33333333333334
greedy,24,0.155,300,244,81.33333333333333,76.53812201652491,85.33625178673687,81.33333333333333
greedy,24,0.1575,300,241,80.33333333333333,75.46412316550143,84.43553658020944,80.33333333333333
greedy,24,0.16,300,238,79.33333333333333,74.3944983244025,83.53044736375746,79.33333333333333
greedy,24,0.1625,300,234,78.0,72.97473820840871,82.31725540301672,78.0
greedy,24,0.165,300,232,77.33333333333333,72.26746795338673,81.70804961967141,77.33333333333333
greedy,24,0.1675,300,228,76.0,70.85788119154635,80.48468430477726,76.0
greedy,24,0.17,300,219,73.0,67.70882626256942,77.70959706110145,73.0
greedy,24,0.175,300,208,69.33333333333334,63.89838112035251,74.27942399229839,69.33333333333334
greedy,24,0.18,300,197,65.66666666666666,60.12598041861229,70.81120648301858,65.66666666666666
greedy,32,0.145,300,267,89.0,84.95437677561146,92.05947146887394,89.0
greedy,32,0.15,300,255,85.0,80.5182388854671,88.59675312881467,85.0
greedy,32,0.1525,300,254,84.66666666666667,80.15339429418982,88.30335970090832,84.66666666666667
greedy,32,0.155,300,251,83.66666666666667,79.06268325698748,87.41935668055973,83.66666666666667
greedy,32,0.1575,300,247,82.33333333333334,77.61675879076233,86.23232907005035,82.33333333333334
greedy,32,0.16,300,244,81.33333333333333,76.53812201652491,85.33625178673687,81.33333333333333
greedy,32,0.1625,300,240,80.0,75.10710762322137,84.13431410330587,80.0
greedy,32,0.165,300,238,79.33333333333333,74.3944983244025,83.53044736375746,79.33333333333333
greedy,32,0.1675,300,236,78.66666666666666,73.68372921361544,82.92474043617723,78.66666666666666
greedy,32,0.17,300,230,76.66666666666667,71.5618653578636,81.09717617682728,76.66666666666667
greedy,32,0.175,300,218,72.66666666666667,67.36074258805684,77.39944271643041,72.66666666666667
greedy,32,0.18,300,205,68.33333333333333,62.8659261236736,73.33716493142639,68.33333333333333
