metric,severity_control,responder_count,n_pairs,mean_greedy_minus_global,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,holm_adjusted_p_value,effect_size_dz,global_win_rate_pct,tie_rate_pct
mean_response_s,0.1,8,50,262.03015331701954,211.514529419164,319.9289650916326,0.0001999600079984003,0.01279744051189762,1.299621009115835,100.0,0.0
mean_response_s,0.1,10,50,145.28292098812113,107.7701998185398,186.4089892254589,0.0001999600079984003,0.01279744051189762,1.0002315875245895,98.0,0.0
mean_response_s,0.1,12,50,80.77337818495565,56.09114063995849,112.61696100174049,0.0001999600079984003,0.01279744051189762,0.7924842074016188,94.0,4.0
mean_response_s,0.1,14,50,50.9850720184236,38.618752454398354,64.36755074892865,0.0001999600079984003,0.01279744051189762,1.086853981209965,92.0,8.0
mean_response_s,0.1,16,50,43.09838783340768,33.76413780564646,53.109471697992184,0.0001999600079984003,0.01279744051189762,1.2196127665584233,92.0,6.0
mean_response_s,0.1,20,50,29.51209500474766,19.638903760759543,40.45223783464901,0.0001999600079984003,0.01279744051189762,0.7666466489964378,78.0,18.0
mean_response_s,0.1,24,50,13.953023063046487,8.130447083011635,21.2087397026698,0.0001999600079984003,0.01279744051189762,0.5962101606458385,62.0,38.0
mean_response_s,0.1,32,50,7.6398411370154635,4.570902360714388,11.257533155264973,0.0001999600079984003,0.01279744051189762,0.6107171971184393,57.99999999999999,42.0
mean_response_s,0.12,8,50,247.48223333332555,207.45232901507256,288.7822934959992,0.0001999600079984003,0.01279744051189762,1.692019056944967,98.0,0.0
mean_response_s,0.12,10,50,134.7612821780163,109.81620610363242,164.18119570382947,0.0001999600079984003,0.01279744051189762,1.35141231406957,98.0,2.0
mean_response_s,0.12,12,50,82.38793852681792,62.15740219064243,105.72440408930238,0.0001999600079984003,0.01279744051189762,1.0509164469149055,94.0,6.0
mean_response_s,0.12,14,50,51.59757914452464,38.147984291477925,66.28361189788217,0.0001999600079984003,0.01279744051189762,1.0091726968915518,90.0,10.0
mean_response_s,0.12,16,50,37.21798564777584,26.65818129037474,48.5349629265794,0.0001999600079984003,0.01279744051189762,0.9186008911698625,90.0,10.0
mean_response_s,0.12,20,50,17.51522494085037,11.236239774246611,25.613695619401913,0.0001999600079984003,0.01279744051189762,0.6930783137783812,82.0,16.0
mean_response_s,0.12,24,50,13.142175699225618,9.113799539506894,17.477122289475034,0.0001999600079984003,0.01279744051189762,0.8754516304638164,80.0,18.0
mean_response_s,0.12,32,50,11.767336095667918,8.429590229976217,15.446516921261022,0.0001999600079984003,0.01279744051189762,0.9068102970912195,74.0,26.0
mean_response_s,0.13,8,50,273.12267793509767,227.87852330285705,316.25327687115646,0.0001999600079984003,0.01279744051189762,1.635511374666356,98.0,0.0
mean_response_s,0.13,10,50,165.3376576135748,120.56562293591404,212.89420380179013,0.0001999600079984003,0.01279744051189762,0.978234759068275,96.0,2.0
mean_response_s,0.13,12,50,113.53670819204658,80.9861688973768,152.76540803060212,0.0001999600079984003,0.01279744051189762,0.8827598565794401,92.0,8.0
mean_response_s,0.13,14,50,61.3574899607084,44.22941102281016,80.23218664438012,0.0001999600079984003,0.01279744051189762,0.942387991782426,90.0,10.0
mean_response_s,0.13,16,50,39.148179540828764,26.869650636792194,53.28726988244125,0.0001999600079984003,0.01279744051189762,0.8088495469318285,84.0,16.0
mean_response_s,0.13,20,50,24.09076561995755,14.997198389130098,34.171081310711436,0.0001999600079984003,0.01279744051189762,0.6952058814216484,74.0,22.0
mean_response_s,0.13,24,50,16.1827500162166,9.302847150913376,23.318864164224223,0.0001999600079984003,0.01279744051189762,0.6319881989189904,72.0,24.0
