severity_control,algorithm,responders_from,responders_to,responders_added,reachability_gain_pct_points,reachability_gain_per_added_responder,unmet_demand_reduction,collapse_probability_reduction_pct_points
0.1,global_min_cost,8,10,2,13.599999999999994,6.799999999999997,4.08,0.0
0.1,global_min_cost,10,12,2,3.200000000000003,1.6000000000000014,0.8800000000000003,0.0
0.1,global_min_cost,12,14,2,0.20000000000000284,0.10000000000000142,0.05999999999999961,0.0
0.1,global_min_cost,14,16,2,0.20000000000000284,0.10000000000000142,0.08000000000000007,0.0
0.1,global_min_cost,16,20,4,0.20000000000000284,0.05000000000000071,0.10000000000000009,0.0
0.1,global_min_cost,20,24,4,0.19999999999998863,0.04999999999999716,0.08000000000000007,0.0
0.1,global_min_cost,24,32,8,0.4000000000000057,0.05000000000000071,0.16000000000000014,0.0
0.1,greedy,8,10,2,13.600000000000009,6.800000000000004,4.359999999999999,0.0
0.1,greedy,10,12,2,3.1999999999999886,1.5999999999999943,1.06,0.0
0.1,greedy,12,14,2,0.20000000000000284,0.10000000000000142,0.06000000000000005,0.0
0.1,greedy,14,16,2,0.20000000000000284,0.10000000000000142,0.07999999999999963,0.0
0.1,greedy,16,20,4,0.4000000000000057,0.10000000000000142,0.16000000000000014,0.0
0.1,greedy,20,24,4,0.19999999999998863,0.04999999999999716,0.08000000000000007,0.0
0.1,greedy,24,32,8,0.4000000000000057,0.05000000000000071,0.16000000000000014,0.0
0.12,global_min_cost,8,10,2,12.200000000000003,6.100000000000001,3.2399999999999993,0.0
0.12,global_min_cost,10,12,2,3.799999999999997,1.8999999999999986,1.3800000000000003,0.0
0.12,global_min_cost,12,14,2,1.2000000000000028,0.6000000000000014,0.2999999999999998,0.0
0.12,global_min_cost,14,16,2,0.20000000000000284,0.10000000000000142,0.10000000000000009,0.0
0.12,global_min_cost,16,20,4,0.20000000000000284,0.05000000000000071,0.040000000000000036,0.0
0.12,global_min_cost,20,24,4,0.20000000000000284,0.05000000000000071,0.08000000000000007,0.0
0.12,global_min_cost,24,32,8,0.0,0.0,0.0,0.0
0.12,greedy,8,10,2,12.399999999999991,6.199999999999996,3.3,0.0
0.12,greedy,10,12,2,3.799999999999997,1.8999999999999986,1.1800000000000002,0.0
0.12,greedy,12,14,2,1.2000000000000028,0.6000000000000014,0.54,0.0
0.12,greedy,14,16,2,0.20000000000000284,0.10000000000000142,0.10000000000000009,0.0
0.12,greedy,16,20,4,0.20000000000000284,0.05000000000000071,0.040000000000000036,0.0
0.12,greedy,20,24,4,0.20000000000000284,0.05000000000000071,0.08000000000000007,0.0
0.12,greedy,24,32,8,0.0,0.0,0.0,0.0
0.13,global_min_cost,8,10,2,14.200000000000003,7.100000000000001,4.1,0.0
0.13,global_min_cost,10,12,2,5.599999999999994,2.799999999999997,1.8600000000000003,0.0
0.13,global_min_cost,12,14,2,1.7999999999999972,0.8999999999999986,0.54,0.0
