severity_control,responder_count,realization,seed,algorithm,failed_directed_edges,incident_count,incidents,assigned,unreachable,reachability_pct,mean_response_s,median_response_s,p90_response_s,total_response_s,weighted_unmet_demand
0.1,24,4,5054,greedy,1070,10,10,10,0,100.0,292.681912312421,221.35788808029776,501.23327681390236,2926.8191231242104,0
0.1,24,4,5054,global_min_cost,1070,10,10,10,0,100.0,286.22876522190353,283.74871699608116,468.1210395230777,2862.2876522190354,0
0.1,32,4,5054,greedy,1070,10,10,10,0,100.0,155.69704582095707,142.21766237472443,241.57426242738822,1556.9704582095708,0
0.1,32,4,5054,global_min_cost,1070,10,10,10,0,100.0,151.7797408248021,142.21766237472443,254.42197682311252,1517.797408248021,0
0.1,8,5,5055,greedy,1158,10,10,8,2,80.0,903.129185921914,447.45989273627157,2430.6037107709544,7225.033487375311,8
0.1,8,5,5055,global_min_cost,1158,10,10,8,2,80.0,761.2648086776637,448.81632122777114,1815.2753216877888,6090.11846942131,7
0.1,10,5,5055,greedy,1158,10,10,9,1,90.0,661.4804714983214,436.8739059242729,1690.7291362680135,5953.324243484893,4
0.1,10,5,5055,global_min_cost,1158,10,10,9,1,90.0,570.4273385229626,533.0798593316786,1115.3490353993363,5133.846046706663,4
0.1,12,5,5055,greedy,1158,10,10,9,1,90.0,297.91894494847065,296.27895651224185,494.41865234274735,2681.270504536236,4
0.1,12,5,5055,global_min_cost,1158,10,10,9,1,90.0,294.3176799193976,294.6744592692854,521.2942919640079,2648.859119274579,4
0.1,14,5,5055,greedy,1158,10,10,9,1,90.0,247.15797049798468,265.66194381549906,396.1351017593179,2224.421734481862,4
0.1,14,5,5055,global_min_cost,1158,10,10,9,1,90.0,247.15797049798468,239.01345899361775,417.45388961682295,2224.421734481862,4
0.1,16,5,5055,greedy,1158,10,10,9,1,90.0,188.31283084089813,215.86439863365175,310.5226169048849,1694.815477568083,4
0.1,16,5,5055,global_min_cost,1158,10,10,9,1,90.0,188.31283084089816,215.86439863365175,315.8523138692612,1694.8154775680835,4
0.1,20,5,5055,greedy,1158,10,10,9,1,90.0,172.64274995497385,215.86439863365175,294.9953587178767,1553.7847495947647,4
0.1,20,5,5055,global_min_cost,1158,10,10,9,1,90.0,172.64274995497385,215.86439863365175,294.9953587178767,1553.7847495947644,4
0.1,24,5,5055,greedy,1158,10,10,9,1,90.0,162.19512752160924,144.98485709333636,294.9953587178767,1459.7561476944832,4
0.1,24,5,5055,global_min_cost,1158,10,10,9,1,90.0,162.19512752160924,144.98485709333636,294.9953587178767,1459.756147694483,4
0.1,32,5,5055,greedy,1158,10,10,9,1,90.0,150.36736565660146,107.50198935243671,294.9953587178767,1353.306290909413,4
0.1,32,5,5055,global_min_cost,1158,10,10,9,1,90.0,150.36736565660146,107.50198935243671,294.9953587178767,1353.3062909094128,4
0.1,8,6,5056,greedy,1139,10,10,6,4,60.0,813.4896115274441,757.4480271516502,1334.7648635941077,4880.937669164665,12
0.1,8,6,5056,global_min_cost,1139,10,10,6,4,60.0,474.7880303191683,348.2559438365745,869.6046674577901,2848.72818191501,14
0.1,10,6,5056,greedy,1139,10,10,8,2,80.0,883.5202741857096,688.006253263188,1674.0816421393397,7068.162193485678,5
0.1,10,6,5056,global_min_cost,1139,10,10,8,2,80.0,780.0961692731784,555.2295374576595,1550.0613404727223,6240.769354185427,5
0.1,12,6,5056,greedy,1139,10,10,8,2,80.0,714.7833725243829,667.920978120387,1065.257996702606,5718.266980195063,5
0.1,12,6,5056,global_min_cost,1139,10,10,8,2,80.0,581.7733797679366,502.6459159633741,1124.0447992696584,4654.187038143493,5
0.1,14,6,5056,greedy,1139,10,10,8,2,80.0,552.7838798197545,500.24223363842833,914.6708576877495,4422.271038558036,5
0.1,14,6,5056,global_min_cost,1139,10,10,8,2,80.0,477.70388474121415,237.11625149761667,958.834060704743,3821.6310779297132,5
0.1,16,6,5056,greedy,1139,10,10,8,2,80.0,545.5596065731322,500.24223363842833,874.2149275066649,4364.476852585058,5
0.1,16,6,5056,global_min_cost,1139,10,10,8,2,80.0,470.63609317425136,237.11625149761667,956.8427348911974,3765.088745394011,5
0.1,20,6,5056,greedy,1139,10,10,8,2,80.0,385.8120562612676,271.38882289663206,697.5153189215831,3086.4964500901415,5
0.1,20,6,5056,global_min_cost,1139,10,10,8,2,80.0,356.8376442436826,206.19124582563205,900.2708984188141,2854.7011539494606,5
0.1,24,6,5056,greedy,1139,10,10,8,2,80.0,360.4416504392846,213.39530970799018,697.5153189215831,2883.533203514277,5
0.1,24,6,5056,global_min_cost,1139,10,10,8,2,80.0,343.74868121306474,213.39530970799018,779.9721872350782,2749.9894497045184,5
0.1,32,6,5056,greedy,1139,10,10,8,2,80.0,355.0503949110461,213.39530970799018,697.5153189215831,2840.4031592883694,5
0.1,32,6,5056,global_min_cost,1139,10,10,8,2,80.0,327.40733970062666,183.6171538867945,779.9721872350782,2619.2587176050133,5
0.1,8,7,5057,greedy,1145,10,10,7,3,70.0,503.6488484043064,511.46544671854383,890.8093493331421,3525.5419388301448,6
0.1,8,7,5057,global_min_cost,1145,10,10,7,3,70.0,390.1261023821084,245.3482607150816,778.9980710685298,2730.8827166747587,7
0.1,10,7,5057,greedy,1145,10,10,9,1,90.0,531.8200255785904,571.7051177841156,902.127242366503,4786.380230207313,3
0.1,10,7,5057,global_min_cost,1145,10,10,9,1,90.0,513.5428067063425,422.39126315352866,1021.2829084945014,4621.885260357083,3
0.1,12,7,5057,greedy,1145,10,10,9,1,90.0,475.00859962710024,473.0595888536236,844.3350913635447,4275.077396643902,3
0.1,12,7,5057,global_min_cost,1145,10,10,9,1,90.0,410.6590574991632,391.3865767632517,856.0918175300675,3695.9315174924695,3
0.1,14,7,5057,greedy,1145,10,10,9,1,90.0,451.05287558154237,420.7410257124969,826.5202546505417,4059.475880233881,3
0.1,14,7,5057,global_min_cost,1145,10,10,9,1,90.0,377.2947127439245,362.23360905708796,838.5417031969552,3395.6524146953197,3
0.1,16,7,5057,greedy,1145,10,10,9,1,90.0,419.413003693688,420.7410257124969,801.343897767797,3774.7170332431924,3
0.1,16,7,5057,global_min_cost,1145,10,10,9,1,90.0,316.68617792252724,157.56981114371268,840.3752229827248,2850.1756013027452,3
0.1,20,7,5057,greedy,1145,10,10,9,1,90.0,371.03065662182644,347.611452023574,801.343897767797,3339.2759095964384,3
